Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
35.6	-7.16989e-05	-0.00793286	0.00193841	0.0152548
35.7	-0.000130769	-0.00767463	0.00213928	0.0155468
35.8	-6.87624e-05	-0.00767818	0.00206996	0.0156108
35.9	7.35617e-05	-0.00762158	0.00215466	0.0158178
36	0.000267041	-0.0078041	0.00227834	0.0158919
36.1	5.85652e-05	-0.00767927	0.00234244	0.0159695
36.2	0.00036305	-0.00781367	0.00243095	0.0159568
36.3	0.000519987	-0.00750584	0.00266901	0.015918
36.4	0.000546752	-0.00738317	0.00235395	0.0161037
36.5	0.000193464	-0.00728545	0.00241058	0.0160456
36.6	0.000426413	-0.00729767	0.00224163	0.0161204
36.7	0.000393746	-0.0071664	0.00215927	0.0161171
36.8	0.00066815	-0.00729439	0.00228869	0.0161349
36.9	0.000585081	-0.00736136	0.00240611	0.0162581
37	0.000593666	-0.0074594	0.00249051	0.0162673
37.1	0.000406256	-0.00720604	0.00251508	0.0165357
37.2	0.000415985	-0.00741774	0.00256732	0.0165816
37.3	0.000526656	-0.00740167	0.00256587	0.0165325
37.4	0.000733544	-0.00736996	0.00265361	0.016748
37.5	0.000677492	-0.00750244	0.00277144	0.016667
37.6	0.000537579	-0.00738309	0.00263902	0.0167131
37.7	0.000382456	-0.00743205	0.00251894	0.0171338
37.8	0.000283617	-0.0074166	0.0023036	0.017263
37.9	0.000695078	-0.00748185	0.0026276	0.0172024
38	0.000507153	-0.00758688	0.0027727	0.0173251
38.1	0.000735473	-0.0075237	0.00269635	0.0173469
38.2	0.000625787	-0.00754376	0.00257733	0.0174841
38.3	0.000633027	-0.00752088	0.0028242	0.0174418
38.4	0.000702329	-0.00768634	0.00290145	0.0176338
38.5	0.000566358	-0.00781815	0.00292012	0.0176143
38.6	0.000476003	-0.0077217	0.00311862	0.0176434
38.7	0.000551524	-0.00790137	0.0030205	0.0178455
38.8	0.000386847	-0.00784656	0.00291255	0.0177276
38.9	0.000336062	-0.00773838	0.00272076	0.0179381
39	0.000563881	-0.00782291	0.00291648	0.01787
39.1	0.00033561	-0.00789481	0.00289089	0.0180795
39.2	0.00022453	-0.0077419	0.00295965	0.0178308
39.3	0.000469345	-0.00774774	0.00273194	0.0178941
39.4	0.000728941	-0.00793542	0.00283808	0.0178882
39.5	0.000567731	-0.00786644	0.00284086	0.0178498
39.6	0.000783494	-0.00790776	0.00306884	0.0181431
39.7	0.000667957	-0.00784955	0.00307291	0.0184042
39.8	0.000582015	-0.00800478	0.00320051	0.0184004
39.9	0.000736293	-0.0080078	0.00336681	0.0182932
40	0.000580089	-0.0079173	0.00356482	0.0184058
40.1	0.000485559	-0.00810195	0.00361588	0.0184296
40.2	0.00032664	-0.00792802	0.00385337	0.0185873
40.3	0.000825773	-0.00784086	0.00400637	0.0186791
40.4	0.000646585	-0.00815646	0.00389581	0.0187237
40.5	0.000635514	-0.00795014	0.00388817	0.0188459
40.6	0.000673269	-0.00815984	0.00407047	0.0188616
40.7	0.000681506	-0.00806307	0.00409199	0.0187365
40.8	0.000222359	-0.008135	0.00411135	0.0190636
40.9	0.000527707	-0.00818089	0.00392317	0.0189494
41	0.000555007	-0.00832268	0.00406144	0.0191893
41.1	0.000710014	-0.00810891	0.00417284	0.0191318
41.2	0.000658528	-0.0081939	0.00417164	0.0194369
41.3	0.000657741	-0.00787934	0.00409673	0.0194988
41.4	0.000439813	-0.00815473	0.00417209	0.0193128
41.5	0.000406232	-0.00819353	0.00425101	0.0193876
41.6	0.000711551	-0.00834759	0.00411624	0.0195196
41.7	0.000500685	-0.00833691	0.00417904	0.0195719
41.8	0.000561008	-0.00859285	0.00442904	0.0197259
41.9	0.000459012	-0.00828141	0.00462012	0.0197262
42	0.000384697	-0.00824991	0.00450677	0.0197488
42.1	0.000632031	-0.00822652	0.00455334	0.0198337
42.2	0.000410183	-0.00828776	0.0044434	0.0201167
42.3	0.000339477	-0.00843523	0.00411439	0.0199833
42.4	0.00048242	-0.00828159	0.00444832	0.0200196
42.5	0.000479386	-0.00840318	0.004476	0.0201883
42.6	0.000469849	-0.00839322	0.00454261	0.0202044
42.7	0.000397406	-0.00846254	0.00441309	0.0202299
42.8	0.000504533	-0.00869602	0.0045693	0.0202381
42.9	0.000792662	-0.00850352	0.00478885	0.020261
43	0.000389372	-0.00889637	0.00467889	0.0201265
43.1	0.000232896	-0.00872456	0.00469478	0.0203075
