TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:24:37.953	293	-0.0658609	-0.131918	-0.18908	-0.052407
15:24:38.953	294	-0.0645387	-0.132825	-0.19449	-0.0637633
15:24:39.953	295	-0.0644792	-0.135703	-0.195051	-0.0679474
15:24:40.953	296	-0.0643671	-0.136806	-0.19539	-0.0681207
15:24:41.953	297	-0.0631859	-0.135938	-0.196207	-0.0653037
15:24:42.953	298	-0.0616147	-0.134872	-0.19627	-0.057825
15:24:43.953	299	-0.0603175	-0.134904	-0.196121	-0.0468098
15:24:44.953	300	-0.0594521	-0.134247	-0.196248	-0.0334036
15:24:45.953	301	-0.0586029	-0.133818	-0.196052	-0.0178475
15:24:46.953	302	-0.0590428	-0.133154	-0.196216	-0.00260537
15:24:47.953	303	-0.0595058	-0.132951	-0.196468	0.0113621
15:24:48.953	304	-0.0604278	-0.133077	-0.196079	0.0245833
15:24:49.953	305	-0.0603722	-0.133964	-0.195644	0.0358658
15:24:50.953	306	-0.0603869	-0.134475	-0.195518	0.0459519
15:24:51.953	307	-0.0601473	-0.135042	-0.195212	0.0544011
15:24:52.953	308	-0.0602935	-0.135779	-0.194827	0.0606407
15:24:53.953	309	-0.0597458	-0.136076	-0.194543	0.0662143
15:24:54.953	310	-0.0586133	-0.136137	-0.194476	0.0701979
15:24:55.953	311	-0.0573153	-0.136128	-0.194357	0.073604
15:24:56.953	312	-0.0567401	-0.136901	-0.194114	0.0755759
15:24:57.953	313	-0.0564783	-0.137204	-0.193875	0.0776391
15:24:58.953	314	-0.0564407	-0.137673	-0.193713	0.07924
15:24:59.953	315	-0.0556695	-0.138316	-0.19341	0.0803902
15:25:00.953	316	-0.0553524	-0.138813	-0.193167	0.0817487
15:25:01.953	317	-0.0542653	-0.138579	-0.192921	0.0823055
15:25:02.953	318	-0.053437	-0.138536	-0.192906	0.0828749
15:25:03.953	319	-0.0522651	-0.138533	-0.192756	0.083376
15:25:04.953	320	-0.0515512	-0.137786	-0.192662	0.0833733
15:25:05.953	321	-0.0521094	-0.138527	-0.192608	0.0836328
15:25:06.953	322	-0.0539635	-0.139516	-0.192746	0.0835801
15:25:07.953	323	-0.0550903	-0.140394	-0.192578	0.0836037
15:25:08.953	324	-0.0556039	-0.141045	-0.192588	0.0834713
15:25:09.953	325	-0.0559264	-0.142325	-0.192822	0.0830031
15:25:10.953	326	-0.056213	-0.142776	-0.192794	0.0821925
15:25:11.953	327	-0.0559539	-0.143495	-0.19277	0.0811189
15:25:12.953	328	-0.0560641	-0.143954	-0.192914	0.0805359
15:25:13.953	329	-0.0557781	-0.144385	-0.193176	0.0798353
15:25:14.953	330	-0.0549328	-0.144549	-0.19322	0.0791681
15:25:15.953	331	-0.0543344	-0.143655	-0.193305	0.0782992
15:25:16.953	332	-0.0537584	-0.144194	-0.193163	0.0774755
15:25:17.953	333	-0.053143	-0.144383	-0.193052	0.0770334
15:25:18.953	334	-0.0522827	-0.144229	-0.192851	0.0761897
15:25:19.953	335	-0.0516516	-0.143942	-0.192767	0.0751854
15:25:20.953	336	-0.0507922	-0.143796	-0.192563	0.0749364
15:25:21.953	337	-0.0508985	-0.144219	-0.192456	0.0743717
15:25:22.953	338	-0.0516709	-0.144665	-0.192146	0.073431
15:25:23.953	339	-0.0518692	-0.144819	-0.191946	0.072489
15:25:24.953	340	-0.0522368	-0.145178	-0.191544	0.0720468
15:25:25.953	341	-0.0520287	-0.14483	-0.191654	0.0716462
15:25:26.953	342	-0.052616	-0.145646	-0.191701	0.0705337
15:25:27.953	343	-0.0539872	-0.146911	-0.191479	0.069961
15:25:28.953	344	-0.0634496	-0.149613	-0.191685	0.0693594
15:25:29.953	345	-0.0738555	-0.152697	-0.192174	0.0683422
15:25:30.953	346	-0.0833106	-0.155526	-0.192773	0.067451
15:25:31.953	347	-0.0860648	-0.156317	-0.193247	0.0666761
15:25:32.953	348	-0.0878234	-0.1566	-0.193367	0.0655005
15:25:33.953	349	-0.0849312	-0.156837	-0.193693	0.0651064
15:25:34.953	350	-0.0865325	-0.1573	-0.193621	0.0646385
15:25:35.953	351	-0.0844494	-0.156782	-0.193804	0.0641295
15:25:36.953	352	-0.0828285	-0.157305	-0.193892	0.0638733
15:25:37.953	353	-0.0806457	-0.157386	-0.193475	0.0637665
15:25:38.953	354	-0.0787584	-0.157908	-0.193422	0.0638452
15:25:39.953	355	-0.0773338	-0.157735	-0.193246	0.0639096
15:25:40.953	356	-0.0758981	-0.158029	-0.192943	0.0640898
15:25:41.953	357	-0.0743993	-0.15764	-0.193152	0.0644197
15:25:42.953	358	-0.074121	-0.156989	-0.193038	0.0648486
15:25:43.953	359	-0.074075	-0.156857	-0.192684	0.0656044
15:25:44.953	360	-0.074303	-0.157746	-0.192356	0.0652598
15:25:45.953	361	-0.0740028	-0.159298	-0.191957	0.0649364
15:25:46.953	362	-0.0782247	-0.162903	-0.191461	0.0652153
